FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2015,7862,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2016,8016,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2017,8139,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2018,8487,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2019,8562,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2020,8410,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2021,8491,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2022,8364,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2023,8847,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,THV,Valori in migliaia,2024,9562,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2015,31.1,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2016,31.6,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2017,31.9,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2018,33,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2019,33.3,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2020,32.9,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2021,33.2,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2022,33.1,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2023,34.4,,
A,Annuale,IT,Italia,HOUSE_1PBIS,Famiglie e nuclei familiari per tipologia (media biennale) -  persone sole,HSC_F,Per 100 famiglie con le stesse caratteristiche,2024,36.2,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2015,1154,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2016,1189,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2017,1246,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2018,1310,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2019,1362,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2020,1430,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2021,1500,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2022,1459,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2023,1542,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,THV,Valori in migliaia,2024,1746,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2015,34.8,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2016,35.2,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2017,36.1,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2018,36.2,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2019,37,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2020,39.5,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2021,41.3,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2022,39.8,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2023,38.4,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_M,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - maschi,HSC_S,Per 100 persone sole con le stesse caratteristiche,2024,39.9,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2015,3091,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2016,3140,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2017,3168,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2018,3272,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2019,3313,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2020,3348,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2021,3448,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2022,3321,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2023,3341,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,THV,Valori in migliaia,2024,3580,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2015,67.9,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2016,67.7,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2017,67.6,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2018,67.2,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2019,67.8,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2020,69.9,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2021,70.9,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2022,70.7,,
A,Annuale,IT,Italia,AVTYPE_H60OVER_F,Persone sole di 60 anni e più persone sole di 60 anni e più (media biennale) - femmine,HSC_S,Per 100 persone sole con le stesse caratteristiche,2023,69.2,,
